    step, crack_depth,    time,    ndof,  ms_err
    1.00,        10.0,     0.2,    4396,     1.0
    2.00,        14.7,     0.5,    4396,     0.9
    3.00,        21.1,     0.8,    4396,     0.7
    4.00,        27.7,     1.1,    6568,     0.6
    5.00,        37.8,     1.7,    9920,     0.5
    6.00,        46.8,     2.5,   14392,     0.4
    7.00,        49.8,     3.9,   19300,     0.3
    8.00,        54.2,     5.7,   24644,     0.2
    9.00,        58.0,     7.9,   28328,     0.2
   10.00,        59.9,    10.5,   32860,     0.2
   11.00,        61.3,    13.5,   36256,     0.2
   12.00,        61.3,    16.9,   38976,     0.1
   13.00,        61.8,    20.5,   41436,     0.1
   14.00,        61.8,    24.4,   44784,     0.1
   15.00,        61.8,    28.5,   47232,     0.1
   16.00,        62.2,    32.8,   50824,     0.1
   17.00,        62.2,    37.5,   52916,     0.1
   18.00,        62.2,    42.3,   55284,     0.1
   19.00,        62.2,    47.4,   58264,     0.1
   20.00,        62.2,    52.8,   60952,     0.1
   21.00,        62.2,    58.7,   63368,     0.1
   22.00,        62.2,    64.5,   66536,     0.1
   23.00,        62.2,    70.7,   69580,     0.1
   24.00,        62.2,    77.1,   71344,     0.1
   25.00,        62.2,    83.8,   74532,     0.1
   26.00,        62.2,    90.7,   76736,     0.1
   27.00,        62.2,    97.9,   79144,     0.1
   28.00,        62.2,   105.3,   82744,     0.1
   29.00,        62.2,   113.1,   86720,     0.1
   30.00,        62.2,   121.2,   90044,     0.1
   31.00,        62.2,   129.6,   92556,     0.1
   32.00,        62.2,   138.3,   95792,     0.1
   33.00,        62.2,   147.4,   98716,     0.1
   34.00,        62.2,   157.0,  102512,     0.1
   35.00,        62.2,   166.8,  105540,     0.1
   36.00,        62.2,   176.9,  108388,     0.1
   37.00,        62.2,   187.3,  112508,     0.1
   38.00,        62.2,   198.0,  113816,     0.1
   39.00,        62.2,   209.0,  117136,     0.1
   40.00,        62.2,   220.2,  120180,     0.1
   41.00,        62.2,   231.8,  123396,     0.1
   42.00,        62.2,   243.6,  125856,     0.1
   43.00,        62.2,   255.8,  129616,     0.1
   44.00,        62.2,   268.3,  132012,     0.1
   45.00,        62.2,   281.8,  136420,     0.1
   46.00,        62.2,   294.8,  139480,     0.1
   47.00,        62.2,   308.0,  141660,     0.1
   48.00,        62.2,   321.4,  144868,     0.1
   49.00,        62.2,   335.2,  147756,     0.1
   50.00,        62.2,   349.4,  150260,     0.1
   51.00,        62.2,   363.6,  153780,     0.1
   52.00,        62.2,   378.2,  155724,     0.1
   53.00,        62.2,   393.0,  158136,     0.1
   54.00,        62.2,   408.2,  159848,     0.1
   55.00,        62.2,   423.3,  160612,     0.0
   56.00,        62.2,   438.5,  162548,     0.0
   57.00,        62.2,   454.0,  164680,     0.0
   58.00,        62.2,   469.6,  166840,     0.0
   59.00,        62.2,   485.5,  168512,     0.0
   60.00,        62.2,   501.5,  168888,     0.0
   61.00,        62.2,   517.5,  169968,     0.0
   62.00,        62.2,   533.6,  171760,     0.0
   63.00,        62.2,   549.9,  172176,     0.0
   64.00,        62.2,   566.3,  173900,     0.0
   65.00,        62.2,   583.1,  174632,     0.0
   66.00,        62.2,   599.9,  175568,     0.0
   67.00,        62.2,   616.6,  177508,     0.0
   68.00,        62.2,   633.6,  179908,     0.1
   69.00,        62.2,   650.6,  181188,     0.0
   70.00,        62.2,   668.0,  181900,     0.0
   71.00,        62.2,   685.4,  183216,     0.0
   72.00,        62.2,   702.7,  184076,     0.0
   73.00,        62.2,   720.1,  184532,     0.0
   74.00,        62.2,   737.7,  184988,     0.0
   75.00,        62.2,   755.4,  184988,     0.0
   76.00,        62.2,   772.9,  185416,     0.0
   77.00,        62.2,   790.5,  185672,     0.0
   78.00,        62.2,   808.1,  185672,     0.0
   79.00,        62.2,   826.0,  185964,     0.0
   80.00,        62.2,   843.7,  186032,     0.0
   81.00,        62.2,   861.4,  186032,     0.0
   82.00,        62.2,   879.3,  186124,     0.0
   83.00,        62.2,   897.5,  186124,     0.0
   84.00,        62.2,   915.4,  186180,     0.0
   85.00,        62.2,   933.1,  186180,     0.0
   86.00,        62.2,   950.7,  186180,     0.0
   87.00,        62.2,   968.3,  186180,     0.0
   88.00,        62.2,   985.9,  186180,     0.0
   89.00,        62.2,  1003.3,  186180,     0.0
   90.00,        62.2,  1020.9,  186180,     0.0
