step,cracktip_ratio,time,ELM
1,0.11209566939590199,4.643131732940674,15503
2,0.13156340257539456,9.579907417297363,16327
3,0.15344267144199697,14.471869468688965,17355
4,0.1767376768178176,19.77310609817505,18369
5,0.19943289640783046,25.507467031478882,19455
6,0.22399167215112192,30.477789163589478,20725
7,0.24758498985185728,35.81196689605713,22145
8,0.2715483405466669,41.39701557159424,23667
9,0.296130649483034,47.548739194869995,25223
10,0.32009877507425066,54.264955043792725,26781
11,0.34301241628003976,60.2358775138855,28279
12,0.3671648393166802,66.69311189651489,29741
13,0.38988452273808527,75.57056856155396,31201
14,0.4123498881022757,84.87232804298401,32589
15,0.43400071094949866,94.36013078689575,33911
16,0.4544515527314338,104.04739093780518,35165
17,0.4750365311948326,114.5007221698761,36433
18,0.49399403052143687,125.15003395080566,37619
19,0.5131066464714479,133.8202474117279,38725
20,0.5319192106507978,144.91952872276306,39745
21,0.5491429108017417,154.81495833396912,40689
22,0.5651126363301864,164.3206331729889,41647
23,0.5821278822692367,176.48154091835022,42507
24,0.5978663982678649,184.69278407096863,43277
25,0.6121115769684959,195.54438066482544,44025
26,0.6267817035010921,204.20507168769836,44793
27,0.6404416414893543,212.8073046207428,45429
28,0.6535959468210846,221.87234258651733,46135
29,0.6664481295623741,231.13121342658997,46763
30,0.6782895480901656,240.2722508907318,47273
31,0.690101141551229,249.26194024085999,47785
32,0.7011650667513308,258.70303559303284,48343
33,0.7119897048110724,269.2378897666931,48801
34,0.722332586481442,281.51399850845337,49275
35,0.7318970128427198,291.02953600883484,49651
36,0.7411379872869216,300.94481325149536,50049
37,0.750090956440348,311.0472331047058,50377
38,0.7585263964648072,320.8152310848236,50705
39,0.7669565274005352,331.01387643814087,51031
40,0.7747928006144092,341.123952627182,51293
41,0.7821379548474143,354.85753655433655,51595
42,0.7891371407090483,365.18662548065186,51845
43,0.79666465435707,378.4809412956238,52083
44,0.8029624609179183,389.28736996650696,52329
45,0.8090020084183431,400.1607995033264,52547
46,0.8156596444509595,410.9855365753174,52771
47,0.8210808619155192,419.2356789112091,52989
48,0.8269797018112166,430.0523808002472,53131
49,0.8324423942477088,441.5166985988617,53307
50,0.8374711629788925,453.30896759033203,53501
51,0.841979989889144,462.6202175617218,53631
52,0.8464060744398603,472.002788066864,53731
53,0.8507925993395095,484.665976524353,53811
54,0.8549721972861694,493.7858142852783,53909
55,0.8591768951608503,504.80587673187256,54047
56,0.8632393256616302,515.5180177688599,54145
57,0.866436527002811,523.32395362854,54265
58,0.8699599546820356,531.4534854888916,54331
59,0.8742182154938198,542.0079889297485,54405
60,0.8770160416805148,557.5160412788391,54515
61,0.8796365138155805,568.009560585022,54629
62,0.883243672122084,579.6374387741089,54709
63,0.8860339374467735,595.340015411377,54835
64,0.8887905708365399,607.2462828159332,54907
65,0.8906328055623761,618.1376321315765,54935
66,0.8933095119640029,629.2527709007263,55071
67,0.8959394935544914,639.8274154663086,55159
68,0.8976715885657731,651.0052998065948,55189
69,0.9002463686771266,666.9575595855713,55259
70,0.9019640540266602,678.103306055069,55319
71,0.9037379976454093,687.8424673080444,55383
72,0.9054764978240444,696.5307025909424,55419
73,0.907197768686454,706.8190999031067,55471
74,0.9089057016286458,716.5613424777985,55527
75,0.9097863439401772,726.1820974349976,55565
76,0.9114848825861949,736.7154319286346,55595
77,0.9132234349928657,745.9455323219299,55675
78,0.914931585339645,755.1782429218292,55701
79,0.9158008615429805,764.3615708351135,55753
80,0.9166701377463158,769.6063787937164,55753
81,0.917537693387572,775.3862442970276,55753
82,0.9192424026101927,784.5724058151245,55811
83,0.9201099582514489,793.8629648685455,55857
84,0.9209471118328136,803.3911466598511,55875
85,0.9218146674740697,812.9049978256226,55887
86,0.9226518210554344,822.1461353302002,55923
87,0.92437778874774,831.1631691455841,55959
88,0.9252362007987895,836.9873135089874,55959
89,0.9260830611648135,846.3151006698608,56025
90,0.9269530249008885,855.3183085918427,56031
91,0.9286467456329364,860.8931345939636,56031
92,0.9286582973179619,870.990895986557,56057
93,0.9295167093690113,880.8824663162231,56135
94,0.9303635697350353,886.449654340744,56135
95,0.931202452866221,892.1004331111908,56135
96,0.9320528876824323,901.549870967865,56151
97,0.932891770813618,911.8798077106476,56179
98,0.9329033224986435,922.1485614776611,56199
99,0.9337306539448037,932.6200914382935,56215
100,0.9345695370759894,943.0764291286469,56237
step,cracktip_ratio,time,ELM
1,0.1209128575676911,2.8586862087249756,15980
2,0.14764964775785294,6.546685695648193,17478
3,0.17574702080592575,10.500392198562622,18830
4,0.20508335105877584,14.82103681564331,20504
5,0.23507744162471467,19.71645760536194,22382
6,0.2655773099412222,24.935981035232544,24606
7,0.296130649483034,30.748121976852417,26888
8,0.32616531917446856,37.07843255996704,29072
9,0.3560198263580088,45.51929998397827,31278
10,0.38490241444754525,51.213441133499146,33384
11,0.41287064542111174,57.333163022994995,35276
12,0.44012541632247915,66.21227669715881,37162
13,0.4660924970847893,75.90868902206421,38842
14,0.4908184463888531,83.71154165267944,40404
15,0.5141045380094236,92.95306134223938,41854
step,cracktip_ratio,time,ELM
1,0.16898288357633384,4.464886665344238,20997
2,0.22589969062668813,10.272467851638794,27159
3,0.2859384713747263,18.48391056060791,34965
4,0.3450887847556273,29.230037927627563,42861
5,0.4011063652186726,42.872621059417725,50185
6,0.4531426920768351,59.06325316429138,56611
7,0.5010795211706667,76.42464447021484,62331
8,0.5451288813339136,95.5156364440918,67151
9,0.5841264315618688,116.19736075401306,71151
10,0.618965237493806,138.08491611480713,74221
step,cracktip_ratio,time,ELM
1,0.16898288357633384,4.970845937728882,20997
2,0.22589969062668813,11.663966178894043,27159
3,0.2859384713747263,20.409008979797363,34965
4,0.3450887847556273,31.889835834503174,42861
5,0.4011063652186726,46.94183039665222,50185
6,0.4531426920768351,66.97411775588989,56611
7,0.5010795211706667,90.23394823074341,62331
step,cracktip_ratio,time,ELM
1,0.11209566939590199,3.8163223266601562,15503
2,0.13156340257539456,7.889927387237549,16327
3,0.15344267144199697,12.304142475128174,17355
4,0.1767376768178176,16.80705714225769,18369
5,0.19943289640783046,21.523282527923584,19455
6,0.22399167215112192,26.3894259929657,20725
7,0.24758498985185728,32.54927158355713,22145
8,0.2715483405466669,38.57479906082153,23667
9,0.296130649483034,44.54355454444885,25223
10,0.32009877507425066,51.31159567832947,26781
11,0.34301241628003976,56.696879148483276,28279
12,0.3671648393166802,62.23682475090027,29741
13,0.38988452273808527,69.57743787765503,31201
14,0.4123498881022757,77.37557673454285,32589
15,0.43400071094949866,85.60897827148438,33911
16,0.4544515527314338,94.59090328216553,35165
17,0.4750365311948326,103.43818593025208,36433
18,0.49399403052143687,112.6607575416565,37619
19,0.5131066464714479,119.84827947616577,38725
20,0.5319192106507978,129.52214193344116,39745
21,0.5491429108017417,137.31995010375977,40689
22,0.5651126363301864,145.20294523239136,41647
23,0.5821278822692367,155.69507789611816,42507
24,0.5978663982678649,163.99398469924927,43277
25,0.6121115769684959,174.7633125782013,44025
26,0.6267817035010921,183.53341150283813,44793
27,0.6404416414893543,192.13977456092834,45429
