step,cracktip_ratio,time,ELM
1,0.11209566939590199,4.886155843734741,15495
2,0.13147701406026402,10.004683256149292,16317
3,0.15144305783445566,15.55930495262146,17285
4,0.17432517044435847,20.94540309906006,18325
5,0.19695667839367315,27.254642009735107,19466
6,0.22041456086039668,32.34458041191101,20863
7,0.24346229463881852,37.423630475997925,22377
8,0.26656358842570194,43.66491985321045,24167
9,0.2909908480209922,51.157410621643066,26140
10,0.31398250401387584,59.39352035522461,28010
11,0.3379604830102717,67.74784755706787,30020
12,0.36009174674121325,74.4153265953064,31891
13,0.3829710262627839,83.70142388343811,33926
14,0.405008457104301,91.34959554672241,35917
15,0.4267697923943089,99.28561854362488,38075
16,0.44731883110392023,107.82919311523438,40330
17,0.4682103807868968,116.8188853263855,42270
18,0.4881250421205837,126.3951575756073,44414
19,0.5072845606636884,136.5065267086029,46673
20,0.5259705394024833,149.98740434646606,48976
21,0.5435687284782765,161.06353950500488,51157
22,0.5609387231454647,172.56929278373718,53313
23,0.5772337140281039,184.9754741191864,55573
24,0.5934515811638756,197.85183262825012,57983
25,0.6080808449045201,211.04739928245544,60214
26,0.6237700301866913,224.8329005241394,62470
27,0.6380024266682082,239.5379283428192,64919
28,0.652049652599684,259.6946611404419,67324
29,0.6650308180537996,275.8384289741516,69776
30,0.6778628155064901,292.2954103946686,72169
31,0.6906448219101632,309.3508851528168,74824
32,0.7021591265100207,327.13058614730835,77142
33,0.7134821746387892,345.57734632492065,79869
34,0.7244162538781826,364.46395444869995,82252
35,0.7349361451075929,384.94381976127625,84610
36,0.7451782164018588,405.74208092689514,87467
37,0.7550425414137141,433.6560893058777,89901
38,0.7644743790463404,462.24741983413696,92707
39,0.7728754500305756,485.39214539527893,95426
40,0.7821379548474143,512.3253252506256,98178
41,0.7902477465914763,542.7629709243774,100717
42,0.7981921949367472,568.3061637878418,103436
43,0.8059409007844873,593.073935508728,106247
44,0.8140842385040605,626.8610723018646,109038
45,0.8210778300916983,653.0969896316528,111778
46,0.8284409293942735,680.9507400989532,114703
47,0.8349567786133008,708.7483787536621,117412
48,0.8413105863003518,737.7232482433319,120231
49,0.8479497131264261,766.1658430099487,122947
50,0.8538854559740239,795.2189416885376,125722
51,0.8601088191350842,831.7627222537994,129129
52,0.8654379082139423,887.8176424503326,132523
53,0.8709585734709043,921.2328598499298,136666
54,0.8768841488523604,952.9474084377289,140209
55,0.8822847731456276,986.3775055408478,143762
56,0.8879517353996862,1021.4861507415771,147462
step,cracktip_ratio,time,ELM
1,0.11557667649967929,3.5121617317199707,15796
2,0.1370713054892636,7.0780251026153564,16922
3,0.1615999544713176,10.836554765701294,18176
4,0.18567330140727623,14.946671724319458,19325
5,0.2118851914883213,19.39950180053711,20834
6,0.23804630609217348,24.159789323806763,22670
7,0.26368822627698796,29.355257034301758,24672
8,0.28998734422974026,35.04452443122864,26781
9,0.3159900264175979,41.19336795806885,28899
10,0.34202514356653735,47.922467947006226,31119
11,0.3671648393166802,53.445708990097046,33485
12,0.392004877855865,59.478671073913574,35820
13,0.41583384588903516,68.04175901412964,38398
14,0.4399126331135135,74.92994713783264,40692
15,0.4628947336170076,82.28354072570801,43263
16,0.4851158647394632,92.39101099967957,45589
17,0.5062493485395689,103.23361134529114,48158
18,0.5269962476346401,115.03478932380676,50433
19,0.5466333127936982,124.415944814682,53070
20,0.5651126363301864,134.37348222732544,55621
21,0.5840967968933668,147.7546045780182,58187
22,0.6017755058809134,158.53817653656006,60561
23,0.6180139147721508,173.24821138381958,62969
24,0.6339855186766157,185.08553814888,65761
25,0.6495776682618712,197.5016577243805,68509
26,0.664106728349257,210.35391402244568,70924
27,0.6782986243157265,228.64322924613953,73576
28,0.6922758629869656,247.3331253528595,76526
29,0.7050843256406283,266.1295163631439,79217
30,0.7173887492096691,285.58640360832214,81939
31,0.7298533430416574,301.1324555873871,84869
32,0.7411379872869216,317.4394474029541,87556
33,0.752062773769705,339.1228005886078,90566
34,0.7624816036120097,362.36544466018677,93303
35,0.7727465603352136,381.88031697273254,96039
36,0.7821379548474143,400.9100377559662,99074
37,0.7913583524739045,426.39172625541687,101893
38,0.8000972329051422,446.9306528568268,104701
39,0.808384439897895,474.62169456481934,107635
40,0.8161580148038594,496.3199257850647,110524
41,0.824517120301895,518.3090677261353,113413
42,0.8319967045421112,541.3698589801788,116435
43,0.8393296506598771,564.972273349762,119399
44,0.8464060744398603,589.2719480991364,122556
45,0.8528823983128394,614.7652266025543,125373
46,0.8591768951608503,640.0573618412018,128427
47,0.8654379082139423,683.1224222183228,131941
48,0.8719571922597732,717.774570941925,135831
49,0.8779471534619898,753.2488992214203,140315
